,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Maryland,5092.914,5130.072,5171.634,5311.034,5374.691,5440.389,5496.269,5546.935,5592.379,5627.367,5653.408,5684.965,5730.388,5788.784,5840.241,5888.375,5925.197,5960.064,5988.528,6007.014,6028.186,6042.153,6054.954,6173.689,6175.045,6163.981,6180.253
Massachusetts,6115.476,6144.407,6175.169,6361.104,6397.634,6417.206,6422.565,6412.281,6403.29,6410.084,6431.559,6468.967,6517.613,6566.44,6614.218,6664.269,6715.158,6764.864,6797.484,6827.28,6863.56,6885.72,6894.883,6997.713,6991.951,6982.74,7001.399
Michigan,9785.45,9820.231,9863.775,9952.45,9991.12,10015.71,10041.152,10055.315,10051.137,10036.081,10001.284,9946.889,9901.591,9877.597,9883.053,9898.289,9914.802,9932.033,9934.483,9954.117,9976.752,9987.286,9984.795,10070.627,10038.117,10033.281,10037.261
Minnesota,4687.726,4726.411,4775.508,4933.692,4982.796,5018.935,5053.572,5087.713,5119.598,5163.555,5207.203,5247.018,5281.203,5310.934,5346.62,5377.5,5414.722,5452.665,5484.002,5525.36,5569.283,5608.762,5640.053,5710.578,5717.968,5714.3,5737.915
Mississippi,2731.826,2751.335,2768.619,2848.353,2852.994,2858.681,2868.312,2889.01,2905.943,2904.978,2928.35,2947.806,2958.774,2970.615,2979.147,2984.599,2989.839,2991.892,2990.231,2990.595,2990.674,2982.879,2978.227,2958.409,2949.582,2938.928,2939.69
Missouri,5407.113,5437.562,5468.338,5607.285,5641.142,5674.825,5709.403,5747.741,5790.3,5842.704,5887.612,5923.916,5961.088,5996.089,6011.182,6026.027,6042.989,6059.13,6075.411,6091.384,6111.382,6125.986,6140.475,6154.426,6170.393,6177.168,6196.156
Montana,878.706,879.533,882.779,903.773,906.961,911.667,919.63,930.009,940.102,952.692,964.706,976.415,983.982,990.73,997.518,1004.168,1014.158,1022.657,1031.495,1042.137,1053.862,1061.818,1070.123,1087.211,1106.366,1122.878,1132.812
Nebraska,1656.042,1660.772,1666.028,1713.82,1719.836,1728.292,1738.643,1749.37,1761.497,1772.693,1783.44,1796.378,1812.683,1829.591,1840.914,1853.691,1865.813,1879.955,1892.059,1906.483,1916.998,1925.512,1932.571,1963.273,1964.253,1968.06,1978.379
Nevada,1675.581,1743.772,1809.253,2018.741,2098.399,2173.791,2248.85,2346.222,2432.143,2522.658,2601.072,2653.63,2684.665,2702.483,2713.114,2744.67,2776.956,2818.935,2868.531,2919.555,2972.097,3030.725,3090.771,3115.84,3146.632,3177.421,3194.176
New Hampshire,1173.239,1185.823,1201.134,1239.882,1255.517,1269.089,1279.84,1290.121,1298.492,1308.389,1312.54,1315.906,1316.102,1316.807,1320.444,1324.677,1327.272,1334.257,1337.48,1343.694,1350.395,1355.064,1360.783,1378.702,1387.494,1399.003,1402.054
New Jersey,8054.178,8095.542,8143.412,8430.621,8492.671,8552.643,8601.402,8634.561,8651.974,8661.679,8677.885,8711.09,8755.602,8799.451,8828.552,8845.671,8857.821,8867.277,8870.312,8873.584,8888.147,8891.73,8891.258,9272.392,9269.175,9260.817,9290.841
